"","state","poll_id","BidenPoll","TrumpPoll","days_to_election","fte_grade","sample_size","BidenResult","TrumpResult","EV","stateid"
"33","Alabama",72223,38.9,58.1,11,"B/C",853,36.6,62,9,"AL"
"34","Alabama",70924,39,59,49,"C",2070,36.6,62,9,"AL"
"35","Alabama",72295,37.2,55.8,11,"C",266,36.6,62,9,"AL"
"36","Alaska",72575,45,54,16,"C",614,42.8,52.8,3,"AK"
"37","Alaska",72028,44,54,36,"C",1120,42.8,52.8,3,"AK"
"38","Alaska",71173,39,45,25,"A+",423,42.8,52.8,3,"AK"
"39","Alaska",71619,45,53,41,"C",996,42.8,52.8,3,"AK"
"40","Alaska",70497,48.63,48.34,148,"C",161,42.8,52.8,3,"AK"
"41","Alaska",70446,40.53,56.44,125,"C",412,42.8,52.8,3,"AK"
"42","Alaska",70396,42.33,56.34,94,"C",472,42.8,52.8,3,"AK"
"43","Alaska",71231,45,53,47,"C",835,42.8,52.8,3,"AK"
"44","Alaska",67783,44,50,103,"A-",885,42.8,52.8,3,"AK"
"45","Alaska",71815,44,53,39,"C",989,42.8,52.8,3,"AK"
"46","Alaska",72713,46,53,14,"C",537,42.8,52.8,3,"AK"
"47","Alaska",67028,45,48,119,"A-",1081,42.8,52.8,3,"AK"
"48","Alaska",72138,44,54,34,"C",1131,42.8,52.8,3,"AK"
"49","Alaska",72860,45,54,14,"C",634,42.8,52.8,3,"AK"
"50","Alaska",71517,45,52,42,"C",1001,42.8,52.8,3,"AK"
"51","Alaska",72193,43,52,8,"B",770,42.8,52.8,3,"AK"
"52","Alaska",67577,47.6,48.8,133,"B/C",663,42.8,52.8,3,"AK"
"53","Alaska",71943,45,53,37,"C",1083,42.8,52.8,3,"AK"
"54","Alaska",71292,44,53,45,"C",898,42.8,52.8,3,"AK"
"55","Alaska",71876,45,53,39,"C",1049,42.8,52.8,3,"AK"
"56","Alaska",71350,45,53,44,"C",941,42.8,52.8,3,"AK"
"57","Alaska",71560,45,50,15,"A-",800,42.8,52.8,3,"AK"
"58","Alaska",70015,46,47,44,"B/C",602,42.8,52.8,3,"AK"
"59","Alaska",71432,44,53,44,"C",977,42.8,52.8,3,"AK"
"60","Alaska",72474,45,53,17,"C",638,42.8,52.8,3,"AK"
"61","Alaska",71298,46,49,34,"B/C",600,42.8,52.8,3,"AK"
"62","Alaska",70925,43,55,50,"C",751,42.8,52.8,3,"AK"
"63","Alaska",71157,44,54,48,"C",796,42.8,52.8,3,"AK"
"64","Alaska",70345,43.39,53.7,63,"C",563,42.8,52.8,3,"AK"
"65","Alaska",72292,44,54,33,"C",1147,42.8,52.8,3,"AK"
"66","Alaska",72395,43,55,18,"C",663,42.8,52.8,3,"AK"
"67","Alaska",71063,44,54,48,"C",776,42.8,52.8,3,"AK"
"68","Alaska",71732,44,53,41,"C",998,42.8,52.8,3,"AK"
"69","Alaska",70622,46,50,39,"B/C",676,42.8,52.8,3,"AK"
"70","Arizona",66892,48,41,148,"A+",650,49.4,49.1,11,"AZ"
"71","Arizona",72392,52,46,18,"C",3463,49.4,49.1,11,"AZ"
"72","Arizona",67078,49,44,120,"B/C",600,49.4,49.1,11,"AZ"
"73","Arizona",71637,47,48,23,"B",1066,49.4,49.1,11,"AZ"
"74","Arizona",71347,53,45,45,"C",5909,49.4,49.1,11,"AZ"
"75","Arizona",67621,49.43,44.59,115,"B/C",700,49.4,49.1,11,"AZ"
"76","Arizona",67614,49,45,109,"A-",960,49.4,49.1,11,"AZ"
"77","Arizona",72412,50,47,19,"B/C",700,49.4,49.1,11,"AZ"
"78","Arizona",68533,49,45,60,"B-",470,49.4,49.1,11,"AZ"
"79","Arizona",72068,50,46,33,"B/C",604,49.4,49.1,11,"AZ"
"80","Arizona",71060,51,48,48,"C",5690,49.4,49.1,11,"AZ"
"81","Arizona",70681,48,45,36,"B/C",600,49.4,49.1,11,"AZ"
"82","Arizona",68113,48,51,93,"B/C",400,49.4,49.1,11,"AZ"
"83","Arizona",72632,45.9,45.3,6,"A/B",550,49.4,49.1,11,"AZ"
"84","Arizona",69513,48,46,53,"A",420,49.4,49.1,11,"AZ"
"85","Arizona",72471,52,46,17,"C",3824,49.4,49.1,11,"AZ"
"86","Arizona",72710,52,47,14,"C",3807,49.4,49.1,11,"AZ"
"87","Arizona",67973,49,45,92,"B/C",603,49.4,49.1,11,"AZ"
"88","Arizona",68153,47,38,79,"B/C",856,49.4,49.1,11,"AZ"
"89","Arizona",69981,53,42,47,"B-",400,49.4,49.1,11,"AZ"
"90","Arizona",71007,49,47,27,"B-",667,49.4,49.1,11,"AZ"
"91","Arizona",71873,53,46,39,"C",5626,49.4,49.1,11,"AZ"
"92","Arizona",67661,49,45,108,"C",873,49.4,49.1,11,"AZ"
"93","Arizona",72649,48,47,5,"A",717,49.4,49.1,11,"AZ"
"94","Arizona",70494,47.58,49.67,148,"C",2365,49.4,49.1,11,"AZ"
"95","Arizona",72161,49,43,12,"B/C",1007,49.4,49.1,11,"AZ"
"96","Arizona",66502,45,41,177,"B/C",946,49.4,49.1,11,"AZ"
"97","Arizona",72417,49,46,11,"C",865,49.4,49.1,11,"AZ"
"98","Arizona",70596,49,45,40,"B/C",800,49.4,49.1,11,"AZ"
"99","Arizona",66976,45,49,129,"B",527,49.4,49.1,11,"AZ"
"100","Arizona",72585,50,47,7,"B",1195,49.4,49.1,11,"AZ"
"101","Arizona",71228,52,46,47,"C",5759,49.4,49.1,11,"AZ"
"102","Arizona",72764,50.6,45.7,7,"C",360,49.4,49.1,11,"AZ"
"103","Arizona",67934,47,44,102,"B",1215,49.4,49.1,11,"AZ"
"104","Arizona",70565,49,41,33,"A+",655,49.4,49.1,11,"AZ"
"105","Arizona",71429,53,45,43,"C",5973,49.4,49.1,11,"AZ"
"106","Arizona",71750,46.2,46.6,15,"B+",500,49.4,49.1,11,"AZ"
"107","Arizona",72135,52,46,34,"C",5609,49.4,49.1,11,"AZ"
"108","Arizona",70752,49,46,32,"B",1144,49.4,49.1,11,"AZ"
"109","Arizona",70443,48.78,48.22,125,"C",4995,49.4,49.1,11,"AZ"
"110","Arizona",72653,50,47,7,"B-",610,49.4,49.1,11,"AZ"
"111","Arizona",69698,47,46,53,"B-",565,49.4,49.1,11,"AZ"
"112","Arizona",72166,47,47,13,"B-",714,49.4,49.1,11,"AZ"
"113","Arizona",68277,45,47,88,"B",947,49.4,49.1,11,"AZ"
"114","Arizona",71451,47.1,41.9,18,"A/B",550,49.4,49.1,11,"AZ"
"115","Arizona",68005,53.3,46.7,87,"A-",661,49.4,49.1,11,"AZ"
"116","Arizona",72602,48.4,46.1,12,"B",1059,49.4,49.1,11,"AZ"
"117","Arizona",72067,52,45,13,"B/C",729,49.4,49.1,11,"AZ"
"118","Arizona",72158,48,44,8,"B",704,49.4,49.1,11,"AZ"
"119","Arizona",71616,53,45,42,"C",5843,49.4,49.1,11,"AZ"
"120","Arizona",70393,47.85,49.89,94,"C",6456,49.4,49.1,11,"AZ"
"121","Arizona",71758,47.8,47.9,31,"B/C",800,49.4,49.1,11,"AZ"
"122","Arizona",67685,49,42,109,"B",908,49.4,49.1,11,"AZ"
"123","Arizona",71753,48.1,49.1,66,"B/C",800,49.4,49.1,11,"AZ"
"124","Arizona",71289,53,45,46,"C",5851,49.4,49.1,11,"AZ"
"125","Arizona",68287,52,42,74,"B",943,49.4,49.1,11,"AZ"
"126","Arizona",70604,51,45,32,"B-",296,49.4,49.1,11,"AZ"
"127","Arizona",70704,43.8,47.8,28,"A-",1087,49.4,49.1,11,"AZ"
"128","Arizona",71067,50,47,30,"B/C",608,49.4,49.1,11,"AZ"
"129","Arizona",71159,45,46,41,"B/C",1045,49.4,49.1,11,"AZ"
"130","Arizona",69542,47,42,52,"B/C",855,49.4,49.1,11,"AZ"
"131","Arizona",72857,52,46,14,"C",4278,49.4,49.1,11,"AZ"
"132","Arizona",72069,49,46,54,"B/C",679,49.4,49.1,11,"AZ"
"133","Arizona",67087,51,45,116,"B-",345,49.4,49.1,11,"AZ"
"134","Arizona",66309,50.46,42.56,178,"B/C",600,49.4,49.1,11,"AZ"
"135","Arizona",70119,50,46,38,"B+",500,49.4,49.1,11,"AZ"
"136","Arizona",72572,52,46,16,"C",3933,49.4,49.1,11,"AZ"
"137","Arizona",69973,45,46,49,"B",481,49.4,49.1,11,"AZ"
"138","Arizona",68338,49,40,66,"A",858,49.4,49.1,11,"AZ"
"139","Arizona",69681,49,43,46,"B-",262,49.4,49.1,11,"AZ"
"140","Arizona",71514,53,45,43,"C",5945,49.4,49.1,11,"AZ"
"141","Arizona",71940,53,45,37,"C",5571,49.4,49.1,11,"AZ"
"142","Arizona",72025,53,46,37,"C",5568,49.4,49.1,11,"AZ"
"143","Arizona",69675,48,49,49,"A+",701,49.4,49.1,11,"AZ"
"144","Arizona",72495,48,45.9,5,"A-",732,49.4,49.1,11,"AZ"
"145","Arizona",69420,50,48,54,"B",684,49.4,49.1,11,"AZ"
"146","Arizona",70639,47.7,43.2,31,"A/B",550,49.4,49.1,11,"AZ"
"147","Arizona",71519,51,45,18,"B-",232,49.4,49.1,11,"AZ"
"148","Arizona",66956,51,44,130,"B-",311,49.4,49.1,11,"AZ"
"149","Arizona",67981,44.8,46.2,90,"A-",1013,49.4,49.1,11,"AZ"
"150","Arizona",67808,47,45,102,"B-",365,49.4,49.1,11,"AZ"
"151","Arizona",69523,49,40,54,"A+",653,49.4,49.1,11,"AZ"
"152","Arizona",71546,48,46,16,"B",800,49.4,49.1,11,"AZ"
"153","Arizona",68520,48,43,65,"B/C",830,49.4,49.1,11,"AZ"
"154","Arizona",66724,46,42,157,"A",1002,49.4,49.1,11,"AZ"
"155","Arizona",66530,47,45.3,169,"B/C",400,49.4,49.1,11,"AZ"
"156","Arizona",72726,50,47,5,"B-",409,49.4,49.1,11,"AZ"
"157","Arizona",66904,43,39,142,"B/C",865,49.4,49.1,11,"AZ"
"158","Arizona",72055,49,46,12,"B/C",716,49.4,49.1,11,"AZ"
"159","Arizona",71090,51,44,25,"A",502,49.4,49.1,11,"AZ"
"160","Arizona",68011,45,44,88,"B-",428,49.4,49.1,11,"AZ"
"161","Arizona",70651,48,46,35,"B-",633,49.4,49.1,11,"AZ"
"162","Arizona",66820,49,45,143,"B-",1368,49.4,49.1,11,"AZ"
"163","Arizona",72742,48,45,24,"B/C",750,49.4,49.1,11,"AZ"
"164","Arizona",67055,46,46,119,"B+",1087,49.4,49.1,11,"AZ"
"165","Arizona",70079,49,45,41,"B",808,49.4,49.1,11,"AZ"
"166","Arizona",67665,50,45,112,"A",826,49.4,49.1,11,"AZ"
"167","Arizona",70042,47,46,39,"B+",500,49.4,49.1,11,"AZ"
"168","Arizona",71729,53,46,40,"C",5852,49.4,49.1,11,"AZ"
"169","Arizona",72500,48.1,50.4,4,"A",641,49.4,49.1,11,"AZ"
"170","Arizona",72217,45,49,7,"B",800,49.4,49.1,11,"AZ"
"171","Arizona",72289,52,46,33,"C",5687,49.4,49.1,11,"AZ"
"172","Arizona",71295,50,47,21,"B+",1074,49.4,49.1,11,"AZ"
"173","Arizona",70603,45.8,44.8,36,"B/C",400,49.4,49.1,11,"AZ"
"174","Arizona",67793,45,47,170,"B",784,49.4,49.1,11,"AZ"
"175","Arizona",71812,53,46,40,"C",5836,49.4,49.1,11,"AZ"
"176","Arizona",69423,47,44,55,"B+",1106,49.4,49.1,11,"AZ"
"177","Arizona",72478,49,43,8,"A+",1252,49.4,49.1,11,"AZ"
"178","Arizona",68204,49,47,74,"B-",344,49.4,49.1,11,"AZ"
"179","Arizona",72732,50,46,8,"B/C",889,49.4,49.1,11,"AZ"
"180","Arizona",66834,45,44,144,"B-",201,49.4,49.1,11,"AZ"
"181","Arizona",70123,47,44,41,"B/C",871,49.4,49.1,11,"AZ"
"182","Arizona",72296,52.4,43.8,11,"C",304,49.4,49.1,11,"AZ"
"183","Arizona",71154,51,47,48,"C",5657,49.4,49.1,11,"AZ"
"184","Arizona",72396,46.4,48.9,9,"A-",1002,49.4,49.1,11,"AZ"
"185","Arizona",66710,44,45,158,"B-",329,49.4,49.1,11,"AZ"
"186","Arizona",70342,51.77,46,63,"C",7100,49.4,49.1,11,"AZ"
"187","Arizona",72147,50,45,17,"B/C",725,49.4,49.1,11,"AZ"
"188","Arizona",68542,49,46,66,"B",901,49.4,49.1,11,"AZ"
"189","Arizona",70706,49,43,30,"B/C",727,49.4,49.1,11,"AZ"
"190","Arizona",67838,46,38,107,"B/C",858,49.4,49.1,11,"AZ"
"191","Arizona",69429,52,42,56,"B/C",600,49.4,49.1,11,"AZ"
"192","Arizona",70926,51,47,49,"C",5778,49.4,49.1,11,"AZ"
"193","Arizona",71621,50,46,20,"B-",658,49.4,49.1,11,"AZ"
"194","Arizona",72743,48,46,25,"B/C",720,49.4,49.1,11,"AZ"
"195","Arizona",69944,49.3,46.6,50,"A/B",550,49.4,49.1,11,"AZ"
"196","Arizona",71461,47,46,20,"B-",800,49.4,49.1,11,"AZ"
"197","Arizona",66969,47.1,45.4,129,"A/B",600,49.4,49.1,11,"AZ"
"198","Arkansas",70343,40.35,58.7,63,"C",771,34.8,62.4,6,"AR"
"199","Arkansas",70495,39.36,57.74,148,"C",354,34.8,62.4,6,"AR"
"200","Arkansas",72858,38,61,14,"C",1309,34.8,62.4,6,"AR"
"201","Arkansas",71874,39,59,39,"C",1989,34.8,62.4,6,"AR"
"202","Arkansas",71290,39,59,45,"C",1577,34.8,62.4,6,"AR"
"203","Arkansas",72573,39,60,16,"C",1253,34.8,62.4,6,"AR"
"204","Arkansas",72026,39,59,36,"C",2033,34.8,62.4,6,"AR"
"205","Arkansas",70444,32.97,64.77,125,"C",747,34.8,62.4,6,"AR"
"206","Arkansas",71155,39,59,48,"C",1385,34.8,62.4,6,"AR"
"207","Arkansas",70394,33.8,64.95,94,"C",689,34.8,62.4,6,"AR"
"208","Arkansas",71941,39,59,37,"C",2020,34.8,62.4,6,"AR"
"209","Arkansas",71515,40,58,42,"C",1707,34.8,62.4,6,"AR"
"210","Arkansas",70927,39,59,49,"C",1231,34.8,62.4,6,"AR"
"211","Arkansas",71617,40,58,41,"C",1797,34.8,62.4,6,"AR"
"212","Arkansas",72711,38,61,14,"C",1161,34.8,62.4,6,"AR"
"213","Arkansas",66797,45,47,147,"B/C",869,34.8,62.4,6,"AR"
"214","Arkansas",72141,32,65,25,"B/C",591,34.8,62.4,6,"AR"
"215","Arkansas",72472,38,60,17,"C",1246,34.8,62.4,6,"AR"
"216","Arkansas",72393,39,60,18,"C",1288,34.8,62.4,6,"AR"
"217","Arkansas",71061,40,58,48,"C",1311,34.8,62.4,6,"AR"
"218","Arkansas",72136,39,60,34,"C",2154,34.8,62.4,6,"AR"
"219","Arkansas",71229,39,58,46,"C",1466,34.8,62.4,6,"AR"
"220","Arkansas",71730,40,58,40,"C",1887,34.8,62.4,6,"AR"
"221","Arkansas",71430,40,58,43,"C",1640,34.8,62.4,6,"AR"
"222","Arkansas",71160,33.5,58,23,"B/C",647,34.8,62.4,6,"AR"
"223","Arkansas",71348,39,59,44,"C",1609,34.8,62.4,6,"AR"
"224","Arkansas",71813,39,59,39,"C",1951,34.8,62.4,6,"AR"
"225","Arkansas",72290,38,60,33,"C",2239,34.8,62.4,6,"AR"
"226","California",71636,58,32,25,"A/B",1185,63.5,34.3,55,"CA"
"227","California",72042,65,29,18,"B/C",5352,63.5,34.3,55,"CA"
"228","California",71288,63,35,45,"C",22865,63.5,34.3,55,"CA"
"229","California",70392,63.28,33.45,94,"C",17537,63.5,34.3,55,"CA"
"230","California",70341,63.34,33.9,63,"C",20346,63.5,34.3,55,"CA"
"231","California",72391,62,36,18,"C",11171,63.5,34.3,55,"CA"
"232","California",72571,62,36,16,"C",11324,63.5,34.3,55,"CA"
"233","California",71939,62,36,38,"C",22268,63.5,34.3,55,"CA"
"234","California",72709,62,36,14,"C",10925,63.5,34.3,55,"CA"
"235","California",71153,63,36,48,"C",21759,63.5,34.3,55,"CA"
"236","California",70442,63.59,33.59,125,"C",19027,63.5,34.3,55,"CA"
"237","California",71872,62,36,38,"C",22491,63.5,34.3,55,"CA"
"238","California",67892,67,28,105,"B/C",6756,63.5,34.3,55,"CA"
"239","California",70493,62.89,34.18,148,"C",8412,63.5,34.3,55,"CA"
"240","California",72856,62,36,14,"C",12370,63.5,34.3,55,"CA"
"241","California",70928,63,36,50,"C",21492,63.5,34.3,55,"CA"
"242","California",72470,62,36,17,"C",10929,63.5,34.3,55,"CA"
"243","California",68501,56.21,39.02,66,"B/C",600,63.5,34.3,55,"CA"
"244","California",71227,62,36,47,"C",22318,63.5,34.3,55,"CA"
"245","California",71346,63,35,45,"C",22834,63.5,34.3,55,"CA"
"246","California",73703,65,28,7,"B/C",1155,63.5,34.3,55,"CA"
"247","California",72288,61,37,34,"C",22450,63.5,34.3,55,"CA"
"248","California",71513,62,36,42,"C",22797,63.5,34.3,55,"CA"
"249","California",68068,61,25,86,"B/C",1904,63.5,34.3,55,"CA"
"250","California",71615,62,36,41,"C",22989,63.5,34.3,55,"CA"
"251","California",70000,62,28,45,"B/C",1885,63.5,34.3,55,"CA"
"252","California",69498,60,31,60,"A/B",1168,63.5,34.3,55,"CA"
"253","California",71428,63,36,44,"C",22780,63.5,34.3,55,"CA"
"254","California",71728,62,36,40,"C",22980,63.5,34.3,55,"CA"
"255","California",66727,57,33,170,"A/B",1048,63.5,34.3,55,"CA"
"256","California",70054,59,32,38,"A",558,63.5,34.3,55,"CA"
"257","California",69496,61,31,73,"B/C",800,63.5,34.3,55,"CA"
"258","California",71811,62,36,40,"C",22654,63.5,34.3,55,"CA"
"259","California",69971,67,28,55,"B/C",5942,63.5,34.3,55,"CA"
"260","California",66243,65.17,34.83,179,"A-",800,63.5,34.3,55,"CA"
"261","California",68040,56,28,83,"A",500,63.5,34.3,55,"CA"
"262","California",71059,62,36,49,"C",21460,63.5,34.3,55,"CA"
"263","California",72134,61,37,34,"C",22170,63.5,34.3,55,"CA"
"264","California",66399,58,30,169,"A",537,63.5,34.3,55,"CA"
"265","California",72651,62,31,6,"B/C",800,63.5,34.3,55,"CA"
"266","California",72297,62,35.3,11,"C",635,63.5,34.3,55,"CA"
"267","California",72024,62,36,37,"C",22234,63.5,34.3,55,"CA"
"268","Colorado",66303,53,40,180,"B/C",800,55.4,41.9,9,"CO"
"269","Colorado",71512,58,41,42,"C",5272,55.4,41.9,9,"CO"
"270","Colorado",67686,52,39,109,"B",616,55.4,41.9,9,"CO"
"271","Colorado",72855,55,44,14,"C",2991,55.4,41.9,9,"CO"
"272","Colorado",72584,54,42,7,"B",709,55.4,41.9,9,"CO"
"273","Colorado",70340,56.8,41,63,"C",2717,55.4,41.9,9,"CO"
"274","Colorado",72570,55,43,16,"C",2888,55.4,41.9,9,"CO"
"275","Colorado",70691,50,40,33,"A",1021,55.4,41.9,9,"CO"
"276","Colorado",72708,55,43,14,"C",2677,55.4,41.9,9,"CO"
"277","Colorado",71152,57,42,47,"C",4345,55.4,41.9,9,"CO"
"278","Colorado",71345,58,41,44,"C",5054,55.4,41.9,9,"CO"
"279","Colorado",71287,57,41,45,"C",4955,55.4,41.9,9,"CO"
"280","Colorado",71449,51,43,25,"B-",800,55.4,41.9,9,"CO"
"281","Colorado",70492,55.88,42.06,148,"C",1088,55.4,41.9,9,"CO"
"282","Colorado",71871,59,40,38,"C",5623,55.4,41.9,9,"CO"
"283","Colorado",71427,58,41,44,"C",5126,55.4,41.9,9,"CO"
"284","Colorado",71614,58,40,42,"C",5416,55.4,41.9,9,"CO"
"285","Colorado",72023,59,40,36,"C",5714,55.4,41.9,9,"CO"
"286","Colorado",71638,55,39,23,"B",788,55.4,41.9,9,"CO"
"287","Colorado",72777,55.4,40.7,11,"C",455,55.4,41.9,9,"CO"
"288","Colorado",71069,54,42,23,"B-",1013,55.4,41.9,9,"CO"
"289","Colorado",70441,58.21,39.51,125,"C",2337,55.4,41.9,9,"CO"
"290","Colorado",72133,59,39,34,"C",5785,55.4,41.9,9,"CO"
"291","Colorado",72390,55,43,19,"C",2974,55.4,41.9,9,"CO"
"292","Colorado",72603,53.8,40.9,12,"B",727,55.4,41.9,9,"CO"
"293","Colorado",72469,56,43,17,"C",2896,55.4,41.9,9,"CO"
"294","Colorado",68280,51,41,88,"B",601,55.4,41.9,9,"CO"
"295","Colorado",71368,47,38,29,"B+",800,55.4,41.9,9,"CO"
"296","Colorado",69433,53,41,67,"B/C",800,55.4,41.9,9,"CO"
"297","Colorado",70753,54,40,32,"B",837,55.4,41.9,9,"CO"
"298","Colorado",67784,54,41,103,"A-",891,55.4,41.9,9,"CO"
"299","Colorado",71810,58,40,40,"C",5598,55.4,41.9,9,"CO"
"300","Colorado",71352,55,38,22,"B/C",502,55.4,41.9,9,"CO"
"301","Colorado",70929,57,41,49,"C",3875,55.4,41.9,9,"CO"
"302","Colorado",72580,53,41,5,"B/C",502,55.4,41.9,9,"CO"
"303","Colorado",72287,59,40,33,"C",5925,55.4,41.9,9,"CO"
"304","Colorado",68543,49,43,66,"B",657,55.4,41.9,9,"CO"
"305","Colorado",71938,59,40,37,"C",5656,55.4,41.9,9,"CO"
"306","Colorado",71058,57,41,48,"C",4111,55.4,41.9,9,"CO"
"307","Colorado",71098,54,39,26,"B/C",519,55.4,41.9,9,"CO"
"308","Colorado",70391,55.94,41.63,94,"C",2385,55.4,41.9,9,"CO"
"309","Colorado",66140,55,36,186,"B/C",600,55.4,41.9,9,"CO"
"310","Colorado",67794,50,42,170,"B",572,55.4,41.9,9,"CO"
"311","Colorado",71727,58,40,40,"C",5545,55.4,41.9,9,"CO"
"312","Colorado",66973,56,39,127,"A-",840,55.4,41.9,9,"CO"
"313","Colorado",71226,57,41,46,"C",4722,55.4,41.9,9,"CO"
"314","Colorado",68291,51,41,74,"B",638,55.4,41.9,9,"CO"
"315","Connecticut",71151,63,34,47,"C",2453,59.3,39.2,7,"CT"
"316","Connecticut",70390,64.06,33.99,94,"C",1009,59.3,39.2,7,"CT"
"317","Connecticut",72778,64.1,33.7,11,"C",367,59.3,39.2,7,"CT"
"318","Connecticut",70339,61.25,36.04,63,"C",1415,59.3,39.2,7,"CT"
"319","Connecticut",72569,61,38,16,"C",1928,59.3,39.2,7,"CT"
"320","Connecticut",72854,60,38,14,"C",2031,59.3,39.2,7,"CT"
"321","Connecticut",71726,62,36,40,"C",3224,59.3,39.2,7,"CT"
"322","Connecticut",72022,63,35,36,"C",3490,59.3,39.2,7,"CT"
"323","Connecticut",71286,63,35,46,"C",2862,59.3,39.2,7,"CT"
"324","Connecticut",70930,62,35,49,"C",2088,59.3,39.2,7,"CT"
"325","Connecticut",71344,63,34,44,"C",2907,59.3,39.2,7,"CT"
"326","Connecticut",72389,60,39,18,"C",1971,59.3,39.2,7,"CT"
"327","Connecticut",68073,52,32,168,"A",808,59.3,39.2,7,"CT"
"328","Connecticut",71426,62,35,43,"C",2935,59.3,39.2,7,"CT"
"329","Connecticut",71057,62,35,48,"C",2197,59.3,39.2,7,"CT"
"330","Connecticut",72707,60,38,14,"C",1867,59.3,39.2,7,"CT"
"331","Connecticut",71937,63,35,37,"C",3469,59.3,39.2,7,"CT"
"332","Connecticut",71225,64,34,46,"C",2681,59.3,39.2,7,"CT"
"333","Connecticut",70440,59.11,38.24,125,"C",1360,59.3,39.2,7,"CT"
"334","Connecticut",71809,62,35,39,"C",3368,59.3,39.2,7,"CT"
"335","Connecticut",71613,62,36,41,"C",3105,59.3,39.2,7,"CT"
"336","Connecticut",71870,63,35,39,"C",3442,59.3,39.2,7,"CT"
"337","Connecticut",72468,61,38,17,"C",1907,59.3,39.2,7,"CT"
"338","Connecticut",70491,64.74,31.81,148,"C",574,59.3,39.2,7,"CT"
"339","Connecticut",72286,63,35,33,"C",3782,59.3,39.2,7,"CT"
"340","Connecticut",72132,63,35,34,"C",3632,59.3,39.2,7,"CT"
"341","Connecticut",72324,51.4,26.4,26,"B/C",1000,59.3,39.2,7,"CT"
"342","Connecticut",71511,62,36,43,"C",3020,59.3,39.2,7,"CT"
"343","Delaware",72387,60,39,18,"C",696,58.7,39.8,3,"DE"
"344","Delaware",72567,60,39,16,"C",664,58.7,39.8,3,"DE"
"345","Delaware",71935,62,36,38,"C",1194,58.7,39.8,3,"DE"
"346","Delaware",70931,63,35,49,"C",740,58.7,39.8,3,"DE"
"347","Delaware",72020,62,36,36,"C",1212,58.7,39.8,3,"DE"
"348","Delaware",71868,62,36,38,"C",1182,58.7,39.8,3,"DE"
"349","Delaware",71807,63,35,39,"C",1161,58.7,39.8,3,"DE"
"350","Delaware",70337,60.97,37.34,63,"C",395,58.7,39.8,3,"DE"
"351","Delaware",71149,65,33,47,"C",848,58.7,39.8,3,"DE"
"352","Delaware",72705,61,38,14,"C",588,58.7,39.8,3,"DE"
"353","Delaware",71284,64,34,45,"C",952,58.7,39.8,3,"DE"
"354","Delaware",68194,58,37,74,"A-",710,58.7,39.8,3,"DE"
"355","Delaware",70388,66.56,32.57,94,"C",348,58.7,39.8,3,"DE"
"356","Delaware",71724,63,36,40,"C",1120,58.7,39.8,3,"DE"
"357","Delaware",71223,65,33,46,"C",900,58.7,39.8,3,"DE"
"358","Delaware",72852,60,38,14,"C",656,58.7,39.8,3,"DE"
