"","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_degree","two_year_recid","compas_decile_score","id"
"97",1,0,66,0,0,3,1,0,1,147
"98",1,1,54,0,0,0,0,0,1,148
"99",3,1,44,0,0,0,0,0,1,150
"100",2,0,19,0,0,1,0,1,4,151
"101",2,0,24,0,0,1,1,0,2,152
"102",2,0,30,0,0,1,1,0,2,153
"103",1,1,39,0,0,0,1,1,1,154
"104",1,0,24,0,1,8,1,1,6,156
"105",1,0,30,0,0,0,1,0,4,157
"106",1,0,31,0,0,0,0,0,5,158
"107",1,1,39,0,0,1,1,0,4,159
"108",2,0,59,0,0,14,1,1,9,160
"109",1,0,43,0,0,1,1,0,1,163
"110",2,0,21,0,0,3,1,1,9,166
"111",1,0,38,0,0,5,0,1,4,169
"112",1,0,34,0,0,0,1,0,5,171
"113",2,0,33,0,0,5,1,1,5,173
"114",2,0,37,0,0,3,1,0,2,174
"115",1,0,42,0,0,1,1,1,2,175
"116",2,0,41,0,1,10,1,1,9,176
"117",2,0,22,0,0,0,1,1,4,177
"118",2,0,33,0,12,28,1,1,8,178
"119",2,0,31,0,0,1,0,0,7,180
"120",6,1,30,0,0,1,1,0,2,182
"121",1,0,31,0,0,13,1,1,10,183
"122",2,0,27,0,0,3,1,1,9,184
"123",2,0,56,0,0,8,1,0,9,187
"124",1,0,52,0,0,3,0,0,9,189
"125",2,0,33,0,0,19,1,1,10,190
"126",1,1,64,0,0,2,0,0,1,192
"127",1,0,22,0,0,4,1,1,6,193
"128",1,0,42,0,0,6,1,0,3,194
"129",1,1,25,0,0,2,1,0,4,195
"130",1,0,30,0,0,1,0,0,2,197
"131",1,0,28,0,0,2,1,0,1,199
"132",6,1,37,0,0,2,0,0,2,200
"133",1,0,28,0,0,0,0,1,2,202
"134",2,1,24,0,0,0,0,0,2,203
"135",1,1,29,0,1,10,1,1,4,206
"136",1,0,44,0,0,2,0,1,2,208
"137",3,1,30,0,0,4,1,1,5,209
"138",2,0,32,0,0,3,1,1,7,210
"139",1,0,31,0,0,2,0,1,3,213
"140",2,0,31,0,0,1,0,0,2,215
"141",1,0,59,0,0,1,1,1,2,216
"142",1,1,45,0,0,4,1,0,4,218
"143",2,1,20,1,0,1,1,0,10,220
"144",1,1,43,0,0,0,0,0,1,222
"145",2,0,38,1,1,9,1,1,8,223
"146",2,0,32,0,0,11,1,1,6,224
"147",2,0,33,0,0,8,0,1,5,225
"148",2,1,31,0,0,0,1,1,3,227
"149",2,1,33,0,0,7,1,1,9,228
"150",2,0,27,0,0,2,1,1,9,229
"151",2,1,20,0,0,0,1,0,6,231
"152",1,1,26,0,0,0,0,0,6,232
"153",2,1,61,0,0,1,1,1,1,234
"154",6,0,52,0,0,13,1,1,7,235
"155",3,0,63,0,0,1,1,0,1,236
"156",2,1,32,0,0,4,1,1,10,238
"157",3,0,29,0,0,1,1,0,4,239
"158",6,1,46,0,0,1,1,0,2,240
"159",2,1,26,0,0,2,0,1,4,241
"160",2,0,55,0,0,3,0,0,1,242
"161",1,0,39,1,0,1,0,0,4,243
"162",1,1,30,0,0,3,1,1,7,244
"163",2,0,30,0,0,1,1,0,7,245
"164",1,0,48,0,0,2,0,0,2,246
"165",2,0,22,0,0,1,1,0,2,248
"166",1,0,46,0,0,6,1,1,1,249
"167",1,1,49,0,0,6,1,0,6,251
"168",1,0,31,0,0,0,1,0,5,252
"169",2,0,25,0,0,1,0,1,2,254
"170",3,0,23,0,0,0,1,0,3,257
"171",2,1,32,0,0,5,1,0,7,258
"172",3,0,52,0,0,2,0,0,1,259
"173",2,0,62,0,0,8,1,0,4,260
"174",1,1,37,0,0,6,1,0,10,262
"175",1,0,55,0,0,1,1,0,1,263
"176",3,0,31,0,0,8,1,1,9,264
"177",2,0,28,0,0,6,0,1,6,265
"178",3,0,54,0,0,2,1,0,1,266
"179",3,0,58,0,0,0,1,0,2,267
"180",1,0,78,0,0,1,0,1,1,268
"181",1,0,56,0,0,0,1,0,1,269
"182",6,0,24,0,0,0,1,0,2,271
"183",2,0,38,2,2,22,1,1,8,272
"184",2,0,22,0,0,1,1,1,5,275
"185",2,0,47,0,0,23,0,1,8,277
"186",2,0,23,0,0,0,0,1,2,278
"187",3,0,57,0,0,1,1,0,1,279
"188",1,1,38,0,0,2,1,1,5,280
"189",2,0,66,0,0,3,1,0,1,281
"190",1,0,45,0,0,8,0,1,4,282
"191",6,1,52,0,0,0,0,1,3,285
"192",2,0,32,0,0,13,1,1,10,286
"193",2,0,37,0,0,2,0,1,9,287
"194",1,0,39,0,0,0,1,1,4,288
"195",2,0,26,0,0,9,1,1,9,289
"196",1,0,45,0,0,2,1,0,3,291
"197",2,0,23,0,0,0,1,1,3,293
"198",2,0,34,0,0,2,0,0,2,294
"199",2,1,23,0,0,1,0,0,4,297
"200",6,0,36,0,0,2,0,1,3,298
"201",1,0,50,0,0,1,1,0,1,299
"202",1,1,37,0,0,0,0,0,3,300
"203",1,0,44,0,0,4,0,0,4,301
"204",2,1,35,0,1,23,1,1,9,302
"205",6,0,24,0,0,5,1,1,5,304
"206",2,0,26,0,0,2,1,1,10,306
"207",2,0,27,0,0,0,0,0,2,308
"208",2,1,28,0,0,0,1,0,8,310
"209",1,0,43,0,0,11,1,1,5,311
"210",1,1,28,0,0,7,1,1,9,313
"211",2,0,38,0,0,2,1,0,1,315
"212",1,0,27,0,0,2,0,0,4,316
"213",2,1,28,0,0,1,1,0,9,317
"214",1,0,56,0,0,7,1,1,1,319
"215",2,0,38,0,0,15,1,0,9,320
"216",2,0,28,0,0,2,0,0,5,321
"217",2,0,45,0,0,3,1,0,6,322
"218",3,0,28,0,0,0,0,0,2,323
"219",1,0,61,0,0,1,1,0,1,325
"220",1,1,51,0,0,0,0,1,1,326
"221",1,0,51,0,0,0,0,0,2,327
"222",6,0,36,0,0,1,0,1,1,329
"223",2,0,48,0,0,0,1,0,1,330
"224",1,0,37,0,0,4,1,1,3,331
"225",2,1,30,0,0,2,1,0,7,332
"226",2,1,41,0,0,5,0,0,6,333
"227",2,0,27,0,0,11,1,1,10,334
"228",2,0,37,0,0,0,0,0,1,335
"229",6,0,33,0,0,4,1,1,4,336
"230",2,0,54,0,0,11,1,0,9,337
"231",2,0,23,0,0,2,1,0,9,338
"232",2,1,26,0,0,2,1,1,4,341
"233",2,0,41,0,0,0,0,0,1,344
"234",1,0,52,0,0,0,1,0,1,345
"235",1,0,43,0,0,13,1,1,4,347
"236",2,0,52,0,0,0,1,0,4,348
"237",1,0,28,0,0,1,1,0,1,349
"238",2,0,30,0,0,11,0,1,9,350
"239",1,0,28,0,0,1,1,0,5,351
"240",2,0,22,0,0,0,1,0,4,354
"241",2,0,30,0,0,4,1,0,2,355
"242",3,0,25,0,0,4,1,0,4,356
"243",1,0,31,0,0,0,1,1,8,357
"244",1,0,37,0,0,0,1,1,2,358
"245",2,0,32,0,1,14,1,0,9,359
"246",2,0,26,0,1,4,0,0,8,360
"247",1,0,53,0,0,1,0,0,1,361
"248",2,0,28,0,0,25,1,1,8,362
"249",1,0,44,0,0,8,0,1,5,363
"250",2,0,25,0,0,0,1,0,3,364
"251",1,0,22,0,0,1,0,1,8,366
"252",6,1,37,0,0,0,0,0,1,369
"253",6,1,40,0,0,3,1,0,2,372
"254",1,0,36,0,0,8,1,1,7,374
"255",1,0,30,0,0,4,1,0,2,375
"256",2,0,22,0,0,3,0,1,9,376
"257",1,1,24,0,0,1,0,1,7,377
"258",2,0,27,0,0,3,0,1,2,378
"259",3,1,31,0,0,0,0,0,2,379
"260",3,0,23,0,0,1,1,1,6,381
"261",1,1,23,0,0,5,1,1,5,382
"262",3,0,24,0,0,0,0,0,8,383
"263",2,0,29,0,0,1,0,0,3,384
"264",2,0,20,0,0,1,1,1,8,385
"265",2,0,30,0,0,2,1,1,6,386
"266",6,0,39,0,0,0,1,0,1,389
"267",2,0,27,0,0,4,1,0,4,390
"268",1,0,31,0,0,2,0,0,4,392
"269",2,1,37,0,0,2,1,0,1,393
"270",2,0,20,0,0,0,1,0,8,396
"271",3,0,22,0,0,0,1,0,7,398
"272",2,1,52,0,0,0,1,0,1,399
"273",2,1,23,0,0,0,1,1,4,400
"274",2,1,48,0,0,0,1,0,2,402
"275",2,0,66,0,0,8,1,1,6,403
"276",1,0,25,0,0,0,1,0,5,404
"277",1,0,27,0,0,0,1,1,6,405
"278",2,0,30,0,0,11,1,1,7,406
"279",2,0,22,0,1,3,0,1,10,407
"280",1,1,22,0,0,1,1,0,3,408
"281",2,0,35,0,0,2,1,0,10,409
"282",1,0,32,0,0,2,1,0,4,410
"283",2,1,41,0,0,2,0,0,3,411
"284",6,1,25,0,0,0,1,0,2,414
"285",2,0,44,0,0,24,0,0,7,415
"286",2,0,52,0,0,3,1,1,6,416
"287",2,0,43,0,0,0,1,0,1,417
"288",1,0,37,0,0,3,1,0,1,423
"289",2,0,28,0,0,3,0,1,4,424
"290",1,0,70,0,0,1,0,0,1,425
"291",1,0,54,0,0,6,1,1,2,426
"292",1,0,46,0,0,3,1,0,4,428
"293",2,0,21,0,0,0,0,1,9,429
"294",2,0,26,0,0,1,0,1,8,430
"295",3,0,38,0,0,3,1,1,1,431
"296",1,0,34,0,0,5,0,0,4,432
"297",2,0,19,0,0,1,1,1,5,434
"298",2,0,34,0,0,5,0,0,4,435
"299",1,0,23,0,0,0,1,1,5,437
"300",2,0,34,0,0,5,1,1,4,438
"301",2,0,30,0,0,2,1,0,1,439
"302",2,0,39,0,0,6,1,1,3,440
"303",6,0,24,0,0,0,1,0,3,441
"304",1,0,33,0,0,1,0,1,3,442
"305",1,0,58,0,0,2,1,0,3,445
"306",2,1,21,0,0,0,0,0,6,446
"307",2,0,21,0,0,1,1,0,5,450
"308",2,0,23,0,0,4,0,1,8,451
"309",1,0,62,0,0,0,1,0,1,452
"310",2,0,27,1,0,4,0,1,8,454
"311",1,0,37,0,0,5,1,0,3,456
"312",6,0,43,0,0,2,1,1,2,457
"313",2,1,32,0,0,5,1,0,1,459
"314",3,0,23,0,0,0,1,0,3,461
"315",2,0,27,0,0,0,0,0,1,462
"316",1,0,44,0,0,0,0,1,1,463
"317",1,0,28,0,0,3,0,1,3,464
"318",1,1,42,0,0,0,1,0,2,465
"319",6,0,24,0,1,9,1,1,10,467
"320",2,0,27,0,0,0,1,0,2,468
"321",2,0,20,0,0,0,1,1,10,469
"322",1,1,51,0,0,0,0,0,1,474
"323",1,0,56,0,0,0,0,0,1,475
"324",2,0,29,0,0,7,1,0,9,478
"325",2,0,20,0,0,0,1,1,9,480
"326",1,0,53,0,0,6,1,0,1,481
"327",1,0,27,0,0,8,1,0,5,484
"328",2,0,24,0,1,2,1,1,9,485
"329",1,0,53,0,0,36,1,1,6,487
"330",1,0,28,0,0,2,0,1,3,489
"331",2,0,45,0,0,1,1,0,1,493
"332",3,0,21,0,1,3,1,0,5,494
"333",2,1,36,0,0,0,1,0,7,495
"334",1,1,25,0,0,2,0,1,4,496
"335",3,1,23,0,0,1,0,0,3,497
"336",1,0,28,0,0,1,1,0,5,499
"337",2,1,21,0,0,0,1,1,8,500
"338",1,0,36,0,0,0,0,0,3,501
"339",2,0,24,0,0,0,1,0,3,502
"340",2,0,28,0,0,3,1,1,6,503
"341",6,0,30,0,0,1,1,1,2,504
"342",2,0,29,0,0,0,1,0,1,505
"343",1,1,30,0,0,0,0,0,6,509
"344",3,0,51,0,0,1,0,0,1,510
"345",6,0,33,0,0,3,1,0,1,511
"346",2,1,25,0,0,2,1,0,6,512
"347",2,0,32,0,1,12,1,1,9,516
"348",2,0,23,0,0,1,1,0,6,517
"349",2,0,47,0,0,3,1,0,3,518
"350",3,1,32,0,0,1,1,1,3,521
"351",1,0,37,0,0,0,1,0,1,522
"352",2,0,19,0,2,2,1,1,10,523
"353",3,0,27,0,0,0,0,0,8,524
"354",6,0,39,0,0,0,0,0,1,525
"355",1,1,21,0,0,0,1,0,6,526
"356",1,0,69,0,0,0,0,0,1,527
"357",1,0,21,0,0,2,1,0,6,530
"358",2,0,26,0,0,6,0,1,10,531
"359",1,0,22,0,0,0,1,0,4,532
"360",2,1,23,0,0,0,1,1,5,533
"361",2,0,49,0,0,3,1,0,5,537
"362",2,0,29,0,0,2,0,0,4,538
"363",1,1,60,0,0,0,0,0,1,540
"364",2,1,26,0,0,0,0,0,10,541
"365",2,0,23,2,0,3,1,1,10,542
"366",3,0,34,0,0,2,0,1,5,543
"367",6,1,20,1,0,1,1,0,4,545
"368",3,0,36,0,0,1,1,0,3,546
"369",1,0,30,0,0,0,1,0,4,547
"370",2,0,21,0,1,1,1,0,3,548
"371",1,0,22,0,0,2,0,1,6,552
"372",2,0,57,0,0,18,1,0,8,553
"373",2,0,21,0,0,4,1,1,9,557
"374",2,0,21,0,0,0,1,1,5,558
"375",1,0,34,0,0,1,0,0,1,561
"376",1,1,50,0,0,1,0,1,1,563
"377",1,0,40,0,0,0,1,1,7,565
"378",2,0,25,0,0,7,1,1,8,566
"379",1,1,53,0,0,1,0,0,1,567
"380",2,1,24,0,0,0,1,0,4,569
"381",2,0,42,0,0,1,1,0,1,572
"382",2,0,28,0,0,1,0,0,3,573
"383",1,0,24,0,0,1,0,0,4,574
"384",2,0,26,1,1,6,1,1,8,576
"385",2,0,22,0,0,4,1,1,9,579
"386",1,0,21,0,0,3,0,0,7,580
"387",2,0,37,0,0,23,1,1,9,581
"388",2,0,35,0,0,2,1,0,5,584
"389",2,0,53,0,0,2,1,0,1,586
"390",2,0,60,0,0,1,1,0,1,587
"391",2,0,29,0,0,7,1,0,4,588
"392",1,0,48,1,0,23,1,1,8,590
"393",1,1,52,0,0,0,0,0,1,594
"394",2,0,27,0,0,12,1,1,8,597
"395",2,0,28,0,0,5,1,0,9,598
"396",1,0,33,0,0,3,0,0,3,599
"397",3,1,28,0,0,0,1,0,2,600
"398",1,0,47,0,0,5,1,1,10,601
"399",2,0,36,0,0,14,1,1,7,602
"400",2,0,29,1,0,2,1,0,5,603
"401",2,0,22,0,0,0,0,1,9,604
"402",2,0,26,0,0,6,1,0,7,605
"403",1,0,25,0,0,0,1,0,2,608
"404",1,0,68,0,0,2,1,0,1,609
"405",2,0,56,0,0,5,1,0,3,611
"406",2,0,27,0,0,9,1,1,8,612
"407",1,0,52,0,0,4,1,1,1,613
"408",2,0,32,0,0,3,1,0,2,616
"409",6,0,60,0,0,4,1,0,1,617
"410",3,0,23,0,0,1,0,0,3,621
"411",1,1,39,0,0,0,0,0,6,622
"412",1,0,56,0,0,0,0,0,1,623
"413",2,1,22,0,0,0,1,0,7,624
"414",2,1,27,0,0,1,1,1,2,625
"415",2,0,53,0,0,11,1,0,6,627
"416",1,0,25,0,0,0,0,1,2,628
"417",3,0,21,0,0,0,0,0,3,629
"418",1,0,22,0,0,0,1,0,3,630
"419",1,1,58,0,0,2,0,0,1,633
"420",2,0,31,0,0,7,0,1,3,635
"421",1,0,22,0,0,1,1,1,5,637
"422",2,0,28,0,0,8,1,1,6,638
"423",6,0,42,0,0,1,1,0,1,639
"424",2,0,20,0,0,0,1,1,7,640
"425",1,0,29,0,0,0,0,1,6,641
"426",2,0,29,0,0,8,1,0,10,643
"427",2,0,58,0,0,21,0,1,7,644
"428",2,0,22,0,0,3,1,0,7,645
"429",3,0,48,0,0,1,0,1,1,646
"430",1,0,37,0,0,0,1,0,4,647
"431",2,0,57,0,0,1,1,1,5,648
"432",1,0,27,0,0,3,0,0,1,649
"433",2,0,26,0,0,3,1,0,4,651
"434",1,0,24,0,1,3,1,1,8,653
"435",1,0,33,0,0,0,1,0,1,654
"436",2,0,29,0,0,2,1,0,6,656
"437",2,1,24,0,0,3,1,1,10,657
"438",1,0,19,0,0,1,1,1,10,659
"439",1,0,36,0,0,2,0,0,1,660
"440",1,1,24,0,0,0,1,0,5,662
"441",1,0,34,0,0,0,0,0,1,664
"442",3,0,25,0,0,2,1,1,5,668
"443",2,0,20,1,0,1,1,1,10,669
"444",3,0,28,0,0,2,0,1,5,673
"445",2,0,24,0,0,1,0,1,2,674
"446",1,0,61,0,0,4,1,0,1,675
"447",2,1,50,0,0,3,1,0,2,678
"448",2,0,30,0,0,1,0,0,1,679
"449",2,0,38,0,0,5,1,0,3,680
"450",1,0,24,0,0,0,0,0,1,681
"451",2,0,45,0,0,16,1,0,2,684
"452",2,1,46,0,0,2,1,1,10,685
"453",1,0,41,0,0,0,0,1,1,686
"454",6,0,20,0,0,0,1,1,8,687
"455",2,0,27,0,0,13,0,1,8,688
"456",2,1,51,0,0,16,1,0,8,689
"457",2,0,26,0,0,1,0,1,6,691
"458",2,0,29,0,0,3,1,1,5,692
"459",1,0,52,0,0,6,1,1,5,693
"460",1,0,28,0,0,1,1,1,4,694
"461",5,1,34,0,0,4,1,1,7,696
"462",2,0,55,0,0,5,1,1,3,697
"463",2,0,26,1,1,10,1,1,9,700
"464",2,0,28,0,0,5,1,0,10,701
"465",1,0,63,0,0,2,1,0,1,703
"466",2,0,42,0,0,0,1,0,1,704
"467",2,0,23,1,2,6,1,0,6,707
"468",2,0,54,0,0,28,1,1,9,708
"469",2,0,35,0,0,8,1,1,7,709
"470",2,1,24,1,0,6,1,1,9,711
"471",2,0,54,0,0,2,0,0,1,712
"472",2,0,58,0,0,12,0,1,6,713
"473",1,0,23,0,0,1,0,1,5,715
"474",2,0,35,0,0,1,0,0,2,716
"475",2,0,20,0,0,1,1,1,10,718
"476",1,0,51,0,0,0,1,0,1,720
"477",3,0,24,0,0,0,1,0,10,721
"478",1,0,37,0,0,3,1,0,2,722
"479",1,0,47,0,0,3,1,0,1,724
"480",1,0,34,0,0,4,1,1,6,726
"481",1,0,56,0,0,0,1,0,1,727
"482",3,0,34,0,0,4,1,1,1,728
"483",1,0,59,0,0,1,1,1,1,729
"484",4,0,35,0,0,0,1,0,6,730
"485",3,0,58,0,0,1,1,0,1,731
"486",3,0,29,0,0,2,0,0,4,732
"487",1,1,24,0,0,6,1,1,9,737
"488",1,0,21,0,0,2,0,1,9,738
"489",2,0,26,0,0,2,0,0,9,739
"490",4,0,50,0,0,5,1,1,7,740
"491",2,0,26,0,0,1,1,0,2,743
"492",1,1,30,0,0,0,0,0,2,745
"493",1,0,29,0,0,6,1,1,9,750
"494",1,0,29,0,0,0,0,1,4,752
"495",2,0,54,0,0,0,0,0,1,753
"496",2,0,29,0,0,4,1,1,4,754
"497",1,1,59,0,0,0,0,0,1,756
"498",2,0,38,0,0,0,1,0,5,757
"499",3,1,22,0,0,2,1,1,5,758
"500",2,0,29,0,0,4,1,1,7,760
"501",1,0,27,0,0,1,0,1,3,762
"502",3,0,26,0,0,7,1,1,5,763
"503",3,0,52,0,0,20,1,0,3,764
"504",2,0,66,0,0,33,1,1,6,765
"505",1,0,27,0,0,2,1,0,5,769
"506",1,0,51,0,0,1,0,0,1,770
"507",1,0,35,0,0,1,1,0,2,771
"508",2,0,26,0,0,1,1,0,7,774
"509",1,0,52,0,0,4,0,0,3,775
"510",2,1,35,0,0,12,0,0,2,779
"511",6,0,48,0,0,12,1,0,5,781
"512",2,1,26,0,0,0,0,0,2,785
"513",1,1,48,0,0,0,0,0,1,786
"514",3,0,30,0,0,7,0,0,4,787
"515",6,0,28,0,0,2,0,0,1,788
"516",2,0,33,0,0,2,0,0,3,789
"517",2,1,34,0,0,6,1,0,4,790
"518",6,0,25,0,0,0,0,0,1,792
"519",2,0,59,0,0,10,1,1,7,793
"520",2,0,29,0,0,5,1,1,5,794
"521",1,0,24,0,0,0,1,0,2,796
"522",1,0,48,0,0,1,1,1,7,798
"523",2,0,55,0,0,0,0,1,8,800
"524",2,0,52,0,0,4,0,0,5,803
"525",2,0,20,0,0,0,1,1,4,804
"526",1,0,25,0,0,4,1,1,4,805
"527",1,0,24,0,0,0,1,0,2,806
"528",1,0,23,0,0,0,0,0,9,807
"529",1,0,27,0,1,6,1,0,4,808
"530",2,0,25,0,1,1,0,1,3,810
"531",2,0,31,0,0,0,1,0,2,812
"532",2,0,25,0,1,6,1,1,4,813
"533",1,0,32,0,0,1,1,1,1,814
"534",1,0,21,0,0,0,1,1,3,815
"535",6,0,37,0,0,1,1,0,1,817
"536",1,0,25,0,0,0,1,0,3,818
"537",3,0,32,1,1,20,1,0,10,820
"538",2,0,35,0,0,0,1,0,7,821
"539",2,0,42,0,0,14,1,1,7,823
"540",1,0,24,0,0,9,0,1,10,825
"541",1,0,22,1,0,6,1,1,10,829
"542",3,0,21,0,0,0,1,1,6,830
"543",1,0,47,0,0,1,0,0,1,831
"544",2,0,27,0,0,5,1,1,9,835
"545",3,0,43,0,0,2,0,1,1,836
"546",1,0,46,0,0,2,1,1,6,837
"547",2,0,44,0,0,1,0,0,3,838
"548",2,0,27,0,0,0,1,0,5,840
"549",1,0,23,0,0,2,1,0,2,841
"550",3,1,50,0,0,1,1,0,1,842
"551",2,0,42,0,0,8,1,0,5,843
"552",2,0,58,0,0,6,1,0,6,844
"553",2,0,26,0,0,3,1,0,6,847
"554",6,1,48,0,0,0,1,0,1,848
"555",2,0,39,0,0,3,1,1,3,849
"556",2,0,21,0,2,3,1,1,5,850
"557",1,0,63,0,0,1,0,0,1,851
"558",2,0,22,0,1,3,1,1,7,852
"559",2,0,50,0,0,3,0,0,3,853
"560",2,0,38,0,0,0,1,0,1,855
"561",1,0,41,0,0,1,1,0,6,856
"562",2,0,28,8,0,16,1,1,8,857
"563",2,1,30,0,0,0,0,0,3,858
"564",2,0,23,0,0,1,1,0,5,859
"565",1,0,25,0,0,2,1,1,4,861
"566",1,0,40,0,0,5,1,0,4,863
"567",3,0,24,0,0,8,1,0,8,864
"568",2,0,27,0,0,5,0,1,4,867
"569",1,0,44,0,0,11,0,0,3,869
"570",2,1,35,0,0,6,1,1,2,870
"571",1,0,42,0,0,0,0,0,1,871
"572",2,0,38,0,0,15,1,0,7,872
"573",3,0,26,0,0,4,1,0,6,874
"574",2,1,25,0,0,0,0,0,3,875
"575",1,0,24,0,0,1,1,0,4,879
"576",3,0,64,0,0,1,1,0,1,880
"577",1,1,49,0,0,2,0,1,1,881
"578",1,0,50,0,0,5,1,1,1,882
"579",1,0,28,0,0,8,1,1,6,883
"580",1,0,66,0,0,0,0,1,1,884
"581",1,1,46,0,0,0,0,0,1,886
"582",2,0,30,0,0,5,1,1,6,887
"583",1,1,22,0,0,0,0,0,3,888
"584",1,0,23,0,0,1,0,0,4,889
"585",6,0,30,0,0,0,0,1,6,890
"586",2,0,24,1,0,10,1,1,10,891
"587",3,0,31,0,0,0,0,0,1,893
"588",6,0,31,0,0,1,1,0,2,895
"589",2,0,21,4,0,4,1,1,7,897
"590",2,0,28,0,0,4,1,0,8,898
"591",2,0,25,0,0,0,0,0,3,899
"592",1,1,21,0,0,0,1,0,7,900
"593",2,0,27,0,0,0,0,0,2,901
"594",3,0,20,0,0,0,0,1,2,904
"595",3,0,32,0,0,1,1,0,1,905
"596",1,1,24,0,0,0,1,0,5,906
"597",2,0,20,1,0,1,1,0,3,909
"598",2,0,31,0,0,3,0,1,8,913
"599",2,0,27,0,0,3,0,1,7,914
"600",2,0,59,0,0,17,1,1,5,915
"601",2,0,40,0,0,0,1,0,2,916
"602",2,0,22,0,0,11,1,1,10,917
"603",2,1,38,0,0,1,1,0,1,918
"604",3,0,36,0,0,1,0,1,10,919
